route_id service_id trip_id trip_headsign direction_id block_id shape_id
P94 8 11050170 "East to Suitland" 0 A002 P94:03
P94 8 24372170 "West to National Harbor" 1 A002 P94:51
P94 8 1289170 "East to Suitland" 0 A002 P94:03
P94 9 3877150 "East to Suitland" 0 A002 P94:04
P93 9 22188150 "West to Birchwood" 1 A002 P93:51
P93 9 32803150 "East to Suitland" 0 A002 P93:05
P94 9 13472150 "West to National Harbor" 1 A002 P94:51
P94 9 11050150 "East to Suitland" 0 A002 P94:03
P94 9 24372150 "West to National Harbor" 1 A002 P94:51
P94 9 1289150 "East to Suitland" 0 A002 P94:03
D20 10 24285080 "West to Foggy Bottom" 1 A002 D20:51
D20 10 2647080 "East to Minnesota Av" 0 A002 D20:05
D20 10 16869080 "West to Farragut Sq" 1 A002 D20:52
D20 10 15036080 "East to Minnesota Av" 0 A002 D20:06
D20 10 2753080 "West to Farragut Sq" 1 A002 D20:52
D20 10 32412080 "East to Minnesota Av" 0 A002 D20:06
D20 10 1366080 "West to Farragut Sq" 1 A002 D20:52
D20 10 10182080 "East to Minnesota Av" 0 A002 D20:06
D20 10 9110080 "West to Farragut Sq" 1 A002 D20:52
D20 10 28196080 "East to Minnesota Av" 0 A002 D20:06
P94 11 3877020 "East to Suitland" 0 A002 P94:04
P93 11 22188020 "West to Birchwood" 1 A002 P93:51
P93 11 32803020 "East to Suitland" 0 A002 P93:05
P94 11 13472020 "West to National Harbor" 1 A002 P94:51
P94 11 11050020 "East to Suitland" 0 A002 P94:03
P94 11 24372020 "West to National Harbor" 1 A002 P94:51
P94 11 1289020 "East to Suitland" 0 A002 P94:03
P94 12 3877060 "East to Suitland" 0 A002 P94:04
P93 12 22188060 "West to Birchwood" 1 A002 P93:51
P93 12 32803060 "East to Suitland" 0 A002 P93:05
P94 12 13472060 "West to National Harbor" 1 A002 P94:51
P94 12 11050060 "East to Suitland" 0 A002 P94:03
P94 12 24372060 "West to National Harbor" 1 A002 P94:51
P94 12 1289060 "East to Suitland" 0 A002 P94:03
D20 13 24285010 "West to Foggy Bottom" 1 A002 D20:51
D20 13 2647010 "East to Minnesota Av" 0 A002 D20:05
D20 13 16869010 "West to Farragut Sq" 1 A002 D20:52
D20 13 15036010 "East to Minnesota Av" 0 A002 D20:06
D20 13 2753010 "West to Farragut Sq" 1 A002 D20:52
D20 13 32412010 "East to Minnesota Av" 0 A002 D20:06
D20 13 1366010 "West to Farragut Sq" 1 A002 D20:52
D20 13 10182010 "East to Minnesota Av" 0 A002 D20:06
D20 13 9110010 "West to Farragut Sq" 1 A002 D20:52
D20 13 28196010 "East to Minnesota Av" 0 A002 D20:06
D10 14 30024070 "West to Foggy Bottom" 1 A002 D10:53
D10 14 38561070 "East to Southern Av Station" 0 A002 D10:05
P94 1 24505130 "East to Suitland" 0 A003 P94:03
P93 1 1810130 "West to Birchwood" 1 A003 P93:51
P93 1 7194130 "East to Suitland" 0 A003 P93:05
P90 1 32352130 "West to Oxon Hill P+R" 1 A003 P90:51
P90 1 20272130 "East to Suitland" 0 A003 P90:07
P90 1 25814130 "West to Oxon Hill P+R" 1 A003 P90:51
P90 1 23194130 "East to Suitland" 0 A003 P90:07
P90 1 32851130 "West to Oxon Hill P+R" 1 A003 P90:51
P90 1 15436130 "East to Suitland" 0 A003 P90:07
P90 1 38334130 "West to Oxon Hill P+R" 1 A003 P90:51
P90 1 29757130 "East to Suitland" 0 A003 P90:07
P94 2 24505090 "East to Suitland" 0 A003 P94:03
P93 2 1810090 "West to Birchwood" 1 A003 P93:51
P93 2 7194090 "East to Suitland" 0 A003 P93:05
P90 2 32352090 "West to Oxon Hill P+R" 1 A003 P90:51
P90 2 20272090 "East to Suitland" 0 A003 P90:07
P90 2 25814090 "West to Oxon Hill P+R" 1 A003 P90:51
P90 2 23194090 "East to Suitland" 0 A003 P90:07
P90 2 32851090 "West to Oxon Hill P+R" 1 A003 P90:51
P90 2 15436090 "East to Suitland" 0 A003 P90:07
P90 2 38334090 "West to Oxon Hill P+R" 1 A003 P90:51
P90 2 29757090 "East to Suitland" 0 A003 P90:07
P94 3 24505160 "East to Suitland" 0 A003 P94:03
P93 3 1810160 "West to Birchwood" 1 A003 P93:51
P93 3 7194160 "East to Suitland" 0 A003 P93:05
P90 3 32352160 "West to Oxon Hill P+R" 1 A003 P90:51
P90 3 20272160 "East to Suitland" 0 A003 P90:07
P90 3 25814160 "West to Oxon Hill P+R" 1 A003 P90:51
P90 3 23194160 "East to Suitland" 0 A003 P90:07
P90 3 32851160 "West to Oxon Hill P+R" 1 A003 P90:51
P90 3 15436160 "East to Suitland" 0 A003 P90:07
