stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6822,26822,VEIRS MILL RD & TWINBROOK PKWY,,39.073122,-77.111665,,,,,,2
6824,26824,VEIRS MILL RD & CONNECTICUT AVE,,39.051647,-77.075087,,,,,,2
6826,26826,VEIRS MILL RD & CENTERHILL ST,,39.050171,-77.072563,,,,,,2
6828,26828,VEIRS MILL RD & GAIL ST,,39.049453,-77.070979,,,,,,2
6830,26830,VEIRS MILL RD & CLARIDGE RD,,39.048254,-77.069194,,,,,,2
6832,26832,VEIRS MILL RD & PENDLETON DR,,39.046845,-77.067732,,,,,,2
6834,26834,VEIRS MILL RD & NEWPORT MILL RD,,39.044885,-77.064923,,,,,,2
6836,26836,VEIRS MILL RD & NORRIS DR,,39.044054,-77.063332,,,,,,2
6838,26838,VEIRS MILL RD & SCHOOLHOUSE CIR,,39.042722,-77.06082,,,,,,2
6840,26840,VEIRS MILL RD & COLLEGE VIEW DR,,39.041679,-77.058861,,,,,,2
6842,26842,VEIRS MILL RD & UNIVERSITY W BLVD,,39.040242,-77.056245,,,,,,2
6844,26844,VEIRS MILL RD & UNIVERSITY W BLVD,,39.03968,-77.055133,,,,,,2
6846,26846,VICTORY LN & POSTOAK RD,VICTORY LA & POSTOAK RD,39.049974,-77.177657,,,,,,2
6848,26848,VICTORY LN & BUNNELL DR,,39.04896,-77.176313,,,,,,2
6850,26850,VICTORY LN & HARKER DR,,39.046535,-77.173875,,,,,,2
6852,26852,VICTORY LN & GAINSBOROUGH RD,,39.044738,-77.171184,,,,,,2
6854,26854,VICTORY LN & GREENLANE DR,,39.045117,-77.171625,,,,,,2
6856,26856,VICTORY LN & GREENLANE DR,,39.046917,-77.17391,,,,,,2
6858,26858,VICTORY LN & BUNNELL DR,,39.049094,-77.17625,,,,,,2
6860,26860,VICTORY LN & POSTOAK RD,,39.050151,-77.177762,,,,,,2
6870,26870,WALKERS CHOICE RD & MONTGOMERY VILLAGE AVE,,39.161884,-77.204175,,,,,,2
6872,26872,WALKERS CHOICE RD & WALKERS HOUSE RD,,39.163234,-77.204349,,,,,,2
6874,26874,WALKERS CHOICE RD & LAKE LANDING RD,,39.164012,-77.204685,,,,,,2
6876,26876,WALKERS CHOICE RD & MONTGOMERY VILLAGE AVE,,39.165217,-77.205021,,,,,,2
6878,26878,WALKERS CHOICE RD & @18710,,39.164184,-77.204955,,,,,,2
6880,26880,WALKERS CHOICE RD & WALKERS HOUSE RD,,39.162979,-77.204582,,,,,,2
6882,26882,WALKERS CHOICE RD & @18620,,39.16187,-77.204541,,,,,,2
6884,26884,WANEGARDEN DR & WILD CHERRY LN,WANEGARDEN DR & WILD CHERRY LA,39.183522,-77.288533,,,,,,2
6886,26886,WANEGARDEN DR & WANEGARDEN CT,,39.183284,-77.286453,,,,,,2
6888,26888,WANEGARDEN DR & WYNNFIELD DR,,39.185641,-77.283001,,,,,,2
6892,26892,WANEGARDEN DR & WANEGARDEN CT,,39.183408,-77.286507,,,,,,2
6894,26894,WANEGARDEN DR & LAKE PARK DR,,39.182498,-77.289712,,,,,,2
6896,26896,WARING STATION RD & WINDING CREEK WAY,,39.163088,-77.249105,,,,,,2
6898,26898,WARING STATION RD & SUMMER OAK DR,,39.166162,-77.246109,,,,,,2
6900,26900,WARING STATION RD & FOREST BROOK RD,,39.169014,-77.247309,,,,,,2
6902,26902,WARING STATION RD & FOREST BROOK RD,,39.169786,-77.249165,,,,,,2
6904,26904,WARING STATION RD & ESMOND TERR,,39.171841,-77.251864,,,,,,2
6906,26906,WARING STATION RD & HOTINGER CIR,,39.173514,-77.253502,,,,,,2
6908,26908,WARING STATION RD & STONEY BOTTOM DR,,39.173715,-77.253761,,,,,,2
6910,26910,WARING STATION RD & STONEY BOTTOM DR,,39.171682,-77.251897,,,,,,2
6912,26912,WARING STATION RD & FOREST BROOK RD,,39.169833,-77.249566,,,,,,2
6914,26914,WARING STATION RD & LEATHERBACK DR,,39.169001,-77.247695,,,,,,2
6916,26916,WARING STATION RD & SUMMER OAK DR,,39.166125,-77.246314,,,,,,2
6918,26918,WARING STATION RD & FOREST BROOK RD,,39.163182,-77.249263,,,,,,2
6920,26920,WASHINGTON AVE & GRUBB RD,,38.992828,-77.047467,,,,,,2
6922,26922,WASHINGTON AVE & COLSTON DR,,38.994177,-77.04607,,,,,,2
6924,26924,WASHINGTON AVE & EAST WEST HWY,,38.994701,-77.045844,,,,,,2
6926,26926,WASHINGTON AVE & COLSTON DR,,38.993857,-77.046537,,,,,,2
6928,26928,WASHINGTON AVE & GRUBB RD,,38.993058,-77.047617,,,,,,2
6930,26930,S WASHINGTON ST & COURT HOUSE SQ,,39.083821,-77.15281,,,,,,2
6932,26932,N WASHINGTON ST & MIDDLE LN,,39.085416,-77.152859,,,,,,2
6934,26934,N WASHINGTON ST & BEALL AVE,,39.086761,-77.152875,,,,,,2
6936,26936,N WASHINGTON ST & DAWSON AVE,,39.088525,-77.153572,,,,,,2
6938,26938,N WASHINGTON ST & MARTINS LN,,39.090341,-77.153626,,,,,,2
6940,26940,N WASHINGTON ST & MARTINS LN,,39.091213,-77.153724,,,,,,2
6942,26942,N WASHINGTON ST & DAWSON AVE,,39.089001,-77.153837,,,,,,2
6944,26944,N WASHINGTON ST & BEALL AVE,,39.086671,-77.153077,,,,,,2
6946,26946,N WASHINGTON ST & MIDDLE LN,,39.085235,-77.153057,,,,,,2
6948,26948,S WASHINGTON ST & MONTGOMERY AVE,,39.083938,-77.152984,,,,,,2
6956,26956,MAPLE AVE & SILGO CREEK PKWY,MAPLE AVE & MAPLEWOOD AVE,38.986485,-77.003564,,,,,,2
6958,26958,WASHINGTON GROVE LN & RAILROAD ST,,39.139386,-77.179618,,,,,,2
6960,26960,WASHINGTON GROVE LN & CENTER ST,,39.140764,-77.178514,,,,,,2
6962,26962,WASHINGTON GROVE LN & TOWN CREST DR,,39.143642,-77.173752,,,,,,2
6964,26964,WASHINGTON GROVE LN & FAIRHAVEN DR,,39.145167,-77.171737,,,,,,2
6966,26966,WASHINGTON GROVE LN & AMITY DR,,39.146316,-77.170302,,,,,,2
6968,26968,WASHINGTON GROVE LN & MORNING VIEW DR,,39.147998,-77.168525,,,,,,2
6970,26970,WASHINGTON GROVE LN & SHADY SPRING DR,,39.149065,-77.166886,,,,,,2
6972,26972,WASHINGTON GROVE LN & MINERAL SPRINGS DR,,39.151906,-77.164896,,,,,,2
6974,26974,WASHINGTON GROVE LN & MINERAL SPRINGS DR,,39.152425,-77.164853,,,,,,2
6976,26976,WASHINGTON GROVE LN & EMORY GROVE RD,,39.148634,-77.168021,,,,,,2
6978,26978,WASHINGTON GROVE LN & AMITY DR,,39.14717,-77.169703,,,,,,2
6980,26980,WASHINGTON GROVE LN & FAIRHAVEN CT,WASHINGTON GROVE LA & FAIRHAVEN CT,39.145254,-77.171796,,,,,,2
6982,26982,WASHINGTON GROVE LN & TOWN CREST DR,,39.14393,-77.173517,,,,,,2
6986,26986,WASHINGTON GROVE LN & RAILROAD ST,,39.139449,-77.179786,,,,,,2
6988,26988,WASHINGTONIAN BLVD & @9801,,39.114063,-77.196438,,,,,,2
6990,26990,WASHINGTONIAN BLVD & RIO BLVD,,39.116529,-77.199265,,,,,,2
6992,26992,WASHINGTONIAN BLVD & WATERFRONT PL,,39.11635,-77.199479,,,,,,2
6994,26994,WASHINGTONIAN BLVD & @9801,,39.113825,-77.196401,,,,,,2
6996,26996,WATERS LANDING DR & AMBASSADOR DR,,39.192211,-77.281942,,,,,,2
6998,26998,WATERS LANDING DR & WYNNFIELD DR,,39.191427,-77.28091,,,,,,2
7000,27000,WATERS LANDING DR & AFTERNOON LN,,39.19174,-77.27873,,,,,,2
7002,27002,WATERS LANDING DR & SUMMER SONG LN,,39.192452,-77.277406,,,,,,2
7004,27004,WATERS LANDING DR & AMETHYST LN,,39.19283,-77.274892,,,,,,2
7006,27006,WATERS LANDING DR & FATHER HURLEY BLVD,,39.191999,-77.272732,,,,,,2
7008,27008,WATERS LANDING DR & PICKERING PL,,39.190159,-77.2705,,,,,,2
7010,27010,WATERS LANDING DR & LOCBURY DR,,39.18951,-77.268091,,,,,,2
7012,27012,WATERS LANDING DR & ALDERLEAF DR,,39.189599,-77.268217,,,,,,2
7014,27014,WATERS LANDING DR & PICKERING PL,,39.190062,-77.270208,,,,,,2
7016,27016,WATERS LANDING DR & BARGENE WAY,,39.191085,-77.270989,,,,,,2
7018,27018,WATERS LANDING DR & WHITECHURCH CIR,,39.192946,-77.274933,,,,,,2
7020,27020,WATERS LANDING DR & STAFFORDSHIRE DR,,39.192773,-77.277038,,,,,,2
7022,27022,WATERS LANDING DR & DEERWATER DR,,39.192008,-77.278398,,,,,,2
7024,27024,WATERS LANDING DR & WYNNFIELD DR,,39.191529,-77.28086,,,,,,2
7026,27026,WATERS LANDING DR & NIERWINDER ST,,39.192721,-77.282068,,,,,,2
7028,27028,WATERS LANDING DR & ANNDYKE WAY,,39.19414,-77.284326,,,,,,2
7030,27030,WATERS LANDING DR & SPINNING WHEEL DR,,39.196653,-77.284187,,,,,,2
7032,27032,WATERS LANDING DR & CLEAR MORNING CT,,39.197328,-77.282619,,,,,,2
7034,27034,WATERS LANDING DR & AMBER HILL CT,,39.19681,-77.28076,,,,,,2
7036,27036,WATERS LANDING DR & NEERWINDER,,39.19633,-77.279222,,,,,,2
7038,27038,WATERS LANDING DR & CRYSTAL HILL CIR,,39.196182,-77.276046,,,,,,2
7042,27042,WATKINS MILL RD & CENTERWAY RD,,39.17274,-77.20821,,,,,,2
7044,27044,WATKINS MILL RD & CLUB LAKE RD,,39.176608,-77.209968,,,,,,2
7046,27046,WATKINS MILL RD & MILLSTREAM DR,,39.181909,-77.210198,,,,,,2
7048,27048,WATKINS MILL RD & APPLE RIDGE RD,,39.184205,-77.21079,,,,,,2
7050,27050,WATKINS MILL RD & APPLE RIDGE RD,,39.183825,-77.210805,,,,,,2
7052,27052,WATKINS MILL RD & MILLSTREAM DR,,39.18173,-77.21037,,,,,,2
7056,27056,WATKINS MILL RD & TRAVIS AVE,,39.161739,-77.214476,,,,,,2
7060,27060,WAYNE AVE & FENTON ST,,38.994792,-77.025331,,,,,,2
7061,27061,WAYNE AVE & @824,,38.996285,-77.022877,,,,,,2
7062,27062,WAYNE AVE & CEDAR ST,,38.997421,-77.021393,,,,,,2
7064,27064,WAYNE AVE & SPRINGVALE RD,,38.998301,-77.020538,,,,,,2
7066,27066,WAYNE AVE & DARTMOUTH AVE,,38.998902,-77.019301,,,,,,2
7068,27068,WAYNE AVE & DALE DR,,38.999195,-77.017729,,,,,,2
7070,27070,WAYNE AVE & MANSFIELD RD,,38.999835,-77.013002,,,,,,2
7074,27074,E WAYNE AVE & MANCHESTER RD,,38.999583,-77.009992,,,,,,2
7076,27076,E WAYNE AVE & MANCHESTER RD,,38.999739,-77.009404,,,,,,2
7078,27078,E WAYNE AVE & MANCHESTER PL,,39.001644,-77.007709,,,,,,2
7080,27080,E WAYNE AVE & FLOWER AVE,,39.002826,-77.005663,,,,,,2
7082,27082,E WAYNE AVE & FLOWER AVE,,39.002835,-77.006048,,,,,,2
7084,27084,E WAYNE AVE & MANCHESTER PL,,39.001455,-77.008096,,,,,,2
7086,27086,E WAYNE AVE & SLIGO CREEK PKWY,,38.999712,-77.010425,,,,,,2
7088,27088,WAYNE AVE & MANSFIELD RD,,38.999984,-77.012966,,,,,,2
7092,27092,WAYNE AVE & DALE DR,,38.999406,-77.017144,,,,,,2
7094,27094,WAYNE AVE & DARTMOUTH AVE,,38.999091,-77.019233,,,,,,2
7096,27096,WAYNE AVE & SPRINGVALE RD,,38.998367,-77.020704,,,,,,2
7098,27098,WAYNE AVE & CEDAR ST,,38.997342,-77.021786,,,,,,2
7100,27100,WAYNE AVE & FENTON ST,,38.995703,-77.024126,,,,,,2
7108,27108,WESTBARD AVE & MASSACHUSETTS AVE,,38.958672,-77.109112,,,,,,2
