stop_id stop_code stop_name stop_desc stop_lat stop_lon zone_id stop_url
527 5000258 "Greeley Bl+Langbrook Rd" NA 38.787289 -77.223289 NA NA
529 5000259 "Greeley Bl+Langbrook Rd" NA 38.787365 -77.223442 NA NA
533 5000261 "Burke Centre Pkwy+Wilmington Dr" NA 38.787685 -77.288284 NA NA
534 5000262 "Burke Centre Pkwy+Wilmington Dr" NA 38.787884 -77.288155 NA NA
540 5000266 "Hillside Rd+Veranda Dr" NA 38.788128 -77.246872 NA NA
542 5000267 "Hillside Rd+Forrest Hollow Ln" NA 38.788151 -77.246582 NA NA
543 5000268 "Burke Centre Pkwy+Martins Landing Ln" NA 38.788212 -77.303902 NA NA
545 5000269 "Burke Centre Pkwy+1 Landing Wy" NA 38.78841 -77.30381 NA NA
548 5000272 "Hillside Rd+Timber Hollow Ln" NA 38.788788 -77.245041 NA NA
552 5000274 "Hillside Rd+Hall St" NA 38.78904 -77.244576 NA NA
558 5000278 "Carrleigh Pkwy+Waterbury Ct" NA 38.789577 -77.229164 NA NA
559 5000279 "Carrleigh Pkwy+Forrester Bl" NA 38.789631 -77.229279 NA NA
562 5000281 "Carrleigh Pkwy+Greeley Bl" NA 38.78973 -77.225082 NA NA
564 5000283 "Carrleigh Pkwy+Talford Ct" NA 38.789898 -77.227737 NA NA
565 5000284 "Carrleigh Pkwy+Talford Ct" NA 38.78994 -77.227333 NA NA
571 5000289 "Forrester Bl+Sherborn Ln" NA 38.790249 -77.241264 NA NA
574 5000291 "Forrester Bl+Seabright Rd" NA 38.790348 -77.231628 NA NA
575 3000268 "Livingston Rd+White Oak Dr" NA 38.790451 -76.988411 NA NA
577 5000293 "Forrester Bl+Sherborn Ln" NA 38.790604 -77.240959 NA NA
578 5000294 "Forrester Bl+Kingsford Rd" NA 38.790607 -77.23185 NA NA
579 3000269 "Livingston Rd+White Oak Dr" NA 38.790688 -76.988266 NA NA
580 5000295 "Burr Oak Wy+Oakland Park Dr" NA 38.791035 -77.323044 NA NA
586 5000301 "Burke Centre Pkwy+Powells Landing Rd" NA 38.791206 -77.307175 NA NA
587 5000302 "Burke Centre Pkwy+Cove Landing Rd" NA 38.791306 -77.306999 NA NA
594 5000308 "Forrester Bl+Surrey Hill Pl" NA 38.79166 -77.235306 NA NA
596 5000309 "Forrester Bl+Surrey Hill Pl" NA 38.791672 -77.234734 NA NA
598 5000310 "Forrester Bl+Lakinhurst Ln" NA 38.791901 -77.238586 NA NA
599 5000311 "Burr Oak Wy+Carters Oak Wy" NA 38.791931 -77.321175 NA NA
601 5000312 "Forrester Bl+Royal Ridge Dr" NA 38.791973 -77.238747 NA NA
603 5000314 "Forrester Bl+Queenston St" NA 38.792046 -77.237206 NA NA
604 5000315 "Forrester Bl+Rexford Dr" NA 38.792076 -77.236565 NA NA
609 5000320 "Burke Centre Pkwy+Burnside Landing Dr" NA 38.79261 -77.310051 NA NA
610 5000321 "Burke Centre Pkwy+Waters Edge Landing Ln" NA 38.792667 -77.309731 NA NA
615 3000276 "Lindsay Rd+Wilmette Dr" NA 38.792976 -76.991646 NA NA
622 3000280 "Lindsay Rd+Jarrett Av" NA 38.793221 -76.988419 NA NA
623 3000281 "Leyte Dr+Lindsay Rd" NA 38.793228 -76.992081 NA NA
625 3000282 "Lindsay Rd+Jarrett Av" NA 38.793274 -76.988342 NA NA
642 5000333 "Burr Oak Wy+Oakland Pk Dr" NA 38.794239 -77.317955 NA NA
643 5000334 "Clara Barton Dr+#10990" NA 38.794277 -77.325233 NA NA
644 3000290 "Leyte Dr+#6902" NA 38.794338 -76.991653 NA NA
646 3000291 "Leyte Dr+#6903" NA 38.794437 -76.991699 NA NA
653 4000003 "S Washington St+Church St" NA 38.794937 -77.04924 NA NA
659 5000343 "Burke Centre Pkwy+Burnside Landing" NA 38.795509 -77.313736 NA NA
660 5000344 "Burke Centre Pkwy+Oak Leather Dr" NA 38.795677 -77.313515 NA NA
666 3000297 "Leyte Dr+Shelby Dr" NA 38.795818 -76.991302 NA NA
667 3000298 "Leyte Dr+Shelby Dr" NA 38.795918 -76.991234 NA NA
668 3000299 "Wentworth Dr+Haven Av" NA 38.795979 -76.989494 NA NA
669 4000004 "S Washington St+Green St" NA 38.796024 -77.048935 NA NA
670 3000300 "Wentworth Dr+Haven Av" NA 38.796036 -76.989555 NA NA
672 3000301 "Wentworth Dr+#1123" NA 38.796139 -76.987427 NA NA
673 4000005 "S Washington St+Green St" NA 38.796238 -77.04879 NA NA
674 3000302 "Wentworth Dr+Devonshire Dr" NA 38.796261 -76.98568 NA NA
677 3000304 "Wentworth Dr+Westfield Dr" NA 38.796429 -76.985275 NA NA
678 5000350 "Oak Leather Dr+Oakenshaw Ct" NA 38.796448 -77.31678 NA NA
684 4000006 "S Washington St+Jefferson St" NA 38.797211 -77.048698 NA NA
688 5000355 "Burke Centre Pkwy+Oak Leather Dr" NA 38.79744 -77.316643 NA NA
691 3000308 "St Barnabas Rd+Tucker Rd" NA 38.7976 -76.983109 NA NA
698 4000007 "S Washington St+Franklin St" NA 38.798004 -77.048393 NA NA
700 3000311 "St Barnabas Rd+Tucker Rd" NA 38.79821 -76.982658 NA NA
703 5000364 "Burke Centre Pkwy+Oak Green Wy" NA 38.798485 -77.320633 NA NA
704 5000365 "Burke Centre Pkwy+Ox Rd" NA 38.798565 -77.323906 NA NA
710 4000008 "S Washington St+Gibbon St" NA 38.79916 -77.048294 NA NA
711 4000009 "Eisenhower Av+S Van Dorn St" NA 38.799232 -77.133812 NA NA
716 5000370 "Guinea Rd+Falmead Rd" NA 38.799652 -77.29174 NA NA
724 4000010 "S Washington St+Wilkes St" NA 38.800037 -77.047974 NA NA
727 3000316 "Brinkley Rd+Middlefield Rd" NA 38.800251 -76.938034 NA NA
728 3000317 "Brinkley Rd+Farmer Dr" NA 38.800259 -76.932205 NA NA
729 3000318 "Bock Rd+St Barnabas Rd" NA 38.800274 -76.980476 NA NA
730 3000319 "Brinkley Rd+Farmer Dr" NA 38.800282 -76.931854 NA NA
731 3000320 "Brinkley Rd+Morton Pl" NA 38.800346 -76.937752 NA NA
734 3000322 "Brinkley Rd+Trude St" NA 38.800476 -76.935486 NA NA
735 3000323 "Brinkley Rd+Trude St" NA 38.800484 -76.935059 NA NA
738 3000324 "Bock Rd+Bock Ter" NA 38.800613 -76.982018 NA NA
